	best_action	h	init_light	prob_change	t	v	x
0	0.0	2.1764043035460676	1	1.0	24.68	6.0	40.0
1	0.0	1.879929658123886	1	1.0	24.32	7.0	40.0
2	0.0	1.6595390740338762	1	1.0	24.04	8.0	40.0
3	0.0	1.4876405012769625	1	0.9406779661016952	23.82	9.0	40.0
4	0.0	1.3400085452859463	1	0.7352941176470591	23.64	10.0	40.0
5	0.0	1.2246855550358868	1	0.6026490066225174	23.490000000000002	11.0	40.0
6	0.0	1.1290337600357532	1	0.5060975609756095	23.36	12.0	40.0
7	1.05	3.7199644201275612	1	1.0	23.490000000000002	2.0	40.0
8	0.8	3.3397911320248452	1	0.9960159362549809	22.490000000000002	3.0	40.0
9	0.44999999999999996	2.9651513640277543	1	0.69811320754717	21.82	4.0	40.0
10	0.55	2.5741275925962457	1	0.4986301369863016	21.35	5.0	40.0
11	0.0	2.1764043035460676	1	0.41645885286783063	20.990000000000002	6.0	40.0
12	0.0	1.879929658123886	1	0.33333333333333337	20.71	7.0	40.0
13	0.0	1.6595390740338762	1	0.2771618625277163	20.490000000000002	8.0	40.0
14	0.0	1.4876405012769625	1	0.23667377398720696	20.310000000000002	9.0	40.0
15	0.0	1.3400085452859463	1	0.20661157024793403	20.160000000000004	10.0	40.0
16	0.0	1.2246855550358868	1	0.18309859154929584	20.03	11.0	40.0
17	0.0	1.1290337600357532	1	0.1633858267716536	19.92	12.0	40.0
18	1.75	4.071161808281257	1	0.89937106918239	21.82	1.0	40.0
19	1.05	3.7199644201275612	1	0.6842105263157895	20.82	2.0	40.0
20	0.8	3.3397911320248452	1	0.515463917525773	20.15	3.0	40.0
21	0.44999999999999996	2.9651513640277543	1	0.41729323308270677	19.68	4.0	40.0
22	0.55	2.5741275925962457	1	0.3204225352112676	19.32	5.0	40.0
23	0.0	2.1764043035460676	1	0.28020134228187915	19.04	6.0	40.0
24	0.0	1.879929658123886	1	0.2313915857605178	18.82	7.0	40.0
25	0.0	1.6595390740338762	1	0.19654088050314467	18.64	8.0	40.0
26	0.0	1.4876405012769625	1	0.17050691244239638	18.490000000000002	9.0	40.0
27	0.0	1.3400085452859463	1	0.1506024096385542	18.36	10.0	40.0
