	best_action	h	init_light	prob_change	t	v	x
0	0.4	5.466666666666667	1	0.46685340802987857	14.29	1.0	40.0
1	0.0	2.0	1	0.3561253561253562	10.96	2.0	40.0
2	0.0	1.3326666666666669	1	0.2119669000636537	9.29	3.0	40.0
3	0.0	1.0	1	0.14961101137043686	8.29	4.0	40.0
4	0.0	0.8	1	0.11507479861910243	7.62	5.0	40.0
5	0.0	0.6673333333333333	1	0.09355742296918766	7.15	6.0	40.0
6	0.0	0.5717142857142856	1	0.0785282811641955	6.79	7.0	40.0
7	0.0	0.5	1	0.06760411032990805	6.51	8.0	40.0
8	0.0	0.4442222222222223	1	0.059326563335114914	6.29	9.0	40.0
9	0.0	0.4	1	0.05293806246691371	6.11	10.0	40.0
10	0.0	0.3638181818181818	1	0.04779411764705883	5.96	11.0	40.0
11	0.0	0.33266666666666667	1	0.04329681794470526	5.83	12.0	40.0
12	0.15	5.126626745810055	1	0.4657821229050279	10.68	1.0	40.0
13	0.0	2.0	1	0.31269543464665417	9.01	2.0	40.0
14	0.0	1.3326666666666669	1	0.19599764567392583	8.01	3.0	40.0
15	0.0	1.0	1	0.14156285390713477	7.34	4.0	40.0
16	0.0	0.8	1	0.11031439602868173	6.869999999999999	5.0	40.0
17	0.0	0.6673333333333333	1	0.09031909140075715	6.51	6.0	40.0
18	0.0	0.5717142857142857	1	0.0761854022376132	6.23	7.0	40.0
19	0.0	0.5	1	0.06582411795681938	6.01	8.0	40.0
20	0.0	0.4442222222222223	1	0.057902973395931145	5.83	9.0	40.0
21	0.0	0.4	1	0.05175983436853002	5.68	10.0	40.0
22	0.0	0.3638181818181818	1	0.04678663239074551	5.55	11.0	40.0
23	0.0	0.33266666666666667	1	0.04243353783231083	5.4399999999999995	12.0	40.0
24	0.15	4.820463448488587	1	0.4114743985194324	8.79	1.0	40.0
25	0.0	2.0	1	0.2905287623474724	7.79	2.0	40.0
26	0.0	1.3326666666666669	1	0.18624161073825504	7.12	3.0	40.0
27	0.0	1.0	1	0.13623978201634876	6.65	4.0	40.0
28	0.0	0.8	1	0.10689470871191875	6.29	5.0	40.0
29	0.0	0.6673333333333333	1	0.08794102159031068	6.01	6.0	40.0
30	0.0	0.5717142857142857	1	0.07444039562727746	5.79	7.0	40.0
31	0.0	0.5	1	0.06446621970087674	5.61	8.0	40.0
32	0.0	0.4442222222222223	1	0.05680655066530195	5.46	9.0	40.0
33	0.0	0.4	1	0.05083884087442806	5.33	10.0	40.0
34	0.0	0.3638181818181818	1	0.04600606673407482	5.22	11.0	40.0
35	0.0	0.33266666666666667	1	0.041750503018108655	5.12	12.0	40.0
36	0.0	0.3078461538461539	1	0.03857715430861723	5.04	13.0	40.0
37	0.15	4.663059085681426	1	0.3835537665324899	7.61	1.0	40.0
38	0.0	2.0	1	0.2768549280177187	6.94	2.0	40.0
39	0.0	1.3326666666666669	1	0.1797085806799784	6.470000000000001	3.0	40.0
40	0.0	1.0	1	0.13234515616728426	6.11	4.0	40.0
41	0.0	0.8	1	0.10432968179447051	5.83	5.0	40.0
