	best_action	h	init_light	prob_change	t	v	x
0	0.0	0.33266666666666667	1	1.0	24.869999999999997	12.0	40.0
1	0.0	1.3326666666666669	1	1.0	24.0	3.0	40.0
2	0.0	1.0	1	1.0	23.33	4.0	40.0
3	0.0	0.8	1	0.9345794392523362	22.86	5.0	40.0
4	0.0	0.6673333333333333	1	0.6679999999999999	22.5	6.0	40.0
5	0.0	0.5717142857142857	1	0.5143884892086329	22.22	7.0	40.0
6	0.0	0.5	1	0.4166666666666667	22.0	8.0	40.0
7	0.0	0.4442222222222223	1	0.349056603773585	21.82	9.0	40.0
8	0.0	0.4	1	0.30030030030030047	21.67	10.0	40.0
9	0.0	0.3638181818181818	1	0.26300578034682076	21.54	11.0	40.0
10	0.0	0.33266666666666667	1	0.23249299719887953	21.43	12.0	40.0
11	0.4	5.466666666666667	1	1.0	23.33	1.0	40.0
12	0.0	2.0	1	1.0	22.33	2.0	40.0
13	0.0	1.3326666666666669	1	0.9970059880239511	21.659999999999997	3.0	40.0
14	0.0	1.0	1	0.6561679790026242	21.189999999999998	4.0	40.0
15	0.0	0.8	1	0.47961630695443624	20.83	5.0	40.0
16	0.0	0.6673333333333333	1	0.37528089887640426	20.549999999999997	6.0	40.0
17	0.0	0.5717142857142857	1	0.30620985010706625	20.33	7.0	40.0
18	0.0	0.5	1	0.2577319587628865	20.15	8.0	40.0
19	0.0	0.4442222222222223	1	0.22200000000000003	20.0	9.0	40.0
20	0.0	0.4	1	0.1949317738791422	19.869999999999997	10.0	40.0
21	0.0	0.3638181818181818	1	0.1736641221374045	19.759999999999998	11.0	40.0
22	0.0	0.33266666666666667	1	0.15543071161048677	19.659999999999997	12.0	40.0
23	0.0	0.3078461538461539	1	0.1420664206642066	19.58	13.0	40.0
24	0.4	5.466666666666667	1	1.0	21.33	1.0	40.0
25	0.0	2.0	1	1.0	20.659999999999997	2.0	40.0
26	0.0	1.3326666666666669	1	0.692307692307692	20.189999999999998	3.0	40.0
27	0.0	1.0	1	0.4835589941972919	19.83	4.0	40.0
28	0.0	0.8	1	0.36697247706422	19.549999999999997	5.0	40.0
29	0.0	0.6673333333333333	1	0.29453262786596107	19.33	6.0	40.0
30	0.0	0.5717142857142857	1	0.24444444444444438	19.15	7.0	40.0
31	0.0	0.5	1	0.20833333333333334	19.0	8.0	40.0
32	0.0	0.4442222222222223	1	0.1810766721044045	18.869999999999997	9.0	40.0
33	0.0	0.4	1	0.16025641025641021	18.759999999999998	10.0	40.0
34	0.0	0.3638181818181818	1	0.1435331230283911	18.659999999999997	11.0	40.0
35	0.0	0.33266666666666667	1	0.12928348909657317	18.58	12.0	40.0
36	0.0	0.3078461538461539	1	0.11864406779661013	18.509999999999998	13.0	40.0
37	0.4	5.466666666666667	1	0.9980039920159685	19.990000000000002	1.0	40.0
38	0.0	2.0	1	0.9124087591240875	19.52	2.0	40.0
39	0.0	1.3326666666666669	1	0.5702054794520548	19.16	3.0	40.0
40	0.0	1.0	1	0.4084967320261437	18.88	4.0	40.0
41	0.0	0.8	1	0.31545741324921134	18.66	5.0	40.0
42	0.0	0.6673333333333333	1	0.2561349693251534	18.48	6.0	40.0
43	0.0	0.5717142857142857	1	0.21439280359820084	18.33	7.0	40.0
44	0.0	0.5	1	0.1838235294117647	18.2	8.0	40.0
45	0.0	0.4442222222222223	1	0.16063675832127353	18.09	9.0	40.0
46	0.0	0.4	1	0.14265335235378035	17.990000000000002	10.0	40.0
47	0.0	0.3638181818181818	1	0.12834978843441466	17.91	11.0	40.0
48	0.0	0.33266666666666667	1	0.1159217877094972	17.84	12.0	40.0
49	0.0	0.3078461538461539	1	0.10650069156293222	17.77	13.0	40.0
50	0.4	5.466666666666667	1	0.8403361344537816	19.05	1.0	40.0
51	0.0	2.0	1	0.792393026941363	18.69	2.0	40.0
52	0.0	1.3326666666666669	1	0.5053110773899848	18.41	3.0	40.0
53	0.0	1.0	1	0.367107195301028	18.19	4.0	40.0
54	0.0	0.8	1	0.28612303290414887	18.01	5.0	40.0
55	0.0	0.6673333333333333	1	0.23389355742296916	17.86	6.0	40.0
56	0.0	0.5717142857142857	1	0.19669876203576342	17.73	7.0	40.0
57	0.0	0.5	1	0.1693766937669377	17.62	8.0	40.0
58	0.0	0.4442222222222223	1	0.14839572192513376	17.520000000000003	9.0	40.0
59	0.0	0.4	1	0.1322751322751323	17.44	10.0	40.0
60	0.0	0.3638181818181818	1	0.11926605504587158	17.37	11.0	40.0
61	0.0	0.33266666666666667	1	0.1077922077922078	17.3	12.0	40.0
62	0.0	0.3078461538461539	1	0.09922680412371136	17.240000000000002	13.0	40.0
63	0.0	0.28485714285714286	1	0.09090909090909093	17.19	14.0	40.0
64	0.4	5.466666666666667	1	0.7496251874062967	18.33	1.0	40.0
65	0.0	2.0	1	0.7194244604316548	18.05	2.0	40.0
66	0.0	1.3326666666666669	1	0.4644351464435145	17.83	3.0	40.0
67	0.0	1.0	1	0.34013605442176864	17.65	4.0	40.0
68	0.0	0.8	1	0.26666666666666666	17.5	5.0	40.0
69	0.0	0.6673333333333334	1	0.21887287024901705	17.37	6.0	40.0
70	0.0	0.5717142857142857	1	0.18475452196382433	17.26	7.0	40.0
71	0.0	0.5	1	0.15943877551020408	17.16	8.0	40.0
72	0.0	0.4442222222222223	1	0.14015151515151514	17.08	9.0	40.0
73	0.0	0.4	1	0.12515644555694622	17.01	10.0	40.0
74	0.0	0.3638181818181818	1	0.11290322580645164	16.94	11.0	40.0
75	0.0	0.33266666666666667	1	0.10221674876847289	16.88	12.0	40.0
76	0.0	0.3078461538461539	1	0.0942472460220318	16.83	13.0	40.0
77	0.0	0.28485714285714286	1	0.08637469586374696	16.78	14.0	40.0
78	0.4	5.466666666666667	1	0.6915629322268326	17.77	1.0	40.0
79	0.0	2.0	1	0.6711409395973155	17.55	2.0	40.0
80	0.0	1.3326666666666669	1	0.43643512450851907	17.37	3.0	40.0
81	0.0	1.0	1	0.3213367609254498	17.22	4.0	40.0
82	0.0	0.8	1	0.2528445006321112	17.09	5.0	40.0
