	v0	t0	det	sto	dum	t0:
0	5.0		2.3999999999999573	2.3999999999999573	36.576000000001045	0.0
1	5.0		2.3999999999999573	2.3999999999999573	36.576000000001045	2.0
2	5.0		2.3999999999999573	2.3999999999999573	36.576000000001045	4.0
3	5.0		2.3999999999999573	2.3999999999999573	36.576000000001045	6.0
4	5.0		2.3999999999999573	2.3999999999999573	36.576000000001045	8.0
5	5.0		2.3999999999999573	2.3999999999999573	36.576000000001045	10.0
6	5.0		2.3999999999999573	2.3999999999999573	36.576000000001045	12.0
7	5.0		2.3999999999999573	2.3999999999999573	36.576000000001045	14.0
8	5.0		2.3999999999999573	2.3999999999999573	36.576000000001045	16.0
9	5.0		2.3999999999999573	2.3999999999999573	36.576000000001045	18.0
10	5.0		2.3999999999999573	8.780401200000194	36.576000000001045	20.0
11	5.0		7.400600074999506	7.85238642499945	118.85712000000012	22.0
12	5.0		4.805813398471643	26.774771574999694	138.0020000000011	24.0
13	5.0		6.0323092361399935	25.4835880333335	138.5184800000012	26.0
14	5.0		4.802275799757184	6.182885224999635	125.23199999999889	28.0
15	5.0		5.364267423829036	25.412187499999707	67.6259999999999	30.0
16	5.0		5.201928684418287	5.122248201566092	67.42599999999985	32.0
17	5.0		4.370845822879668	4.741583894527737	67.22599999999977	34.0
18	5.0		4.582600225371377	4.36643043877578	67.0259999999998	36.0
19	5.0		4.2006000749998575	4.793623685495826	46.750999999999976	38.0
20	5.0		3.773777717364812	4.50421483550707	46.15200000000003	40.0
21	5.0		2.3584035189428785	4.827323785136365	45.41900000000007	42.0
22	5.0		1.9543963249992977	4.377419457292739	44.55400000000013	44.0
23	5.0		2.3999999999999573	3.92415967940904	43.557000000000244	46.0
24	5.0		2.3999999999999573	3.6084005333331883	42.42600000000037	48.0
25	5.0		2.3999999999999573	2.3999999999999573	41.16300000000054	50.0
26	5.0		2.3999999999999573	2.3999999999999573	39.766000000000716	52.0
27	5.0		2.3999999999999573	2.3999999999999573	38.23900000000094	54.0
28	5.0		2.3999999999999573	2.3999999999999573	36.576000000001045	56.0
