	best_action	h	init_light	prob_change	t	v	x
34	0.0	1.0	1	0.37425149700598803	18.32	4.0	40.0
35	0.0	0.8	1	0.28735632183908044	18.04	5.0	40.0
36	0.0	0.6673333333333333	1	0.23259052924791088	17.82	6.0	40.0
37	0.0	0.5717142857142857	1	0.19429347826086957	17.64	7.0	40.0
38	0.0	0.5	1	0.1664447403462051	17.490000000000002	8.0	40.0
39	0.0	0.4442222222222223	1	0.14528795811518325	17.36	9.0	40.0
40	0.0	0.4	1	0.12903225806451613	17.25	10.0	40.0
41	0.0	0.3638181818181818	1	0.11592356687898088	17.15	11.0	40.0
42	0.0	0.3326666666666667	1	0.10466582597730138	17.07	12.0	40.0
43	0.0	0.3078461538461539	1	0.09625	17.0	13.0	40.0
44	0.4	5.466666666666667	1	0.7668711656441718	18.48	1.0	40.0
45	0.0	2.0	1	0.7153075822603722	18.01	2.0	40.0
46	0.0	1.3326666666666669	1	0.45306122448979586	17.65	3.0	40.0
47	0.0	1.0	1	0.32765399737876805	17.37	4.0	40.0
48	0.0	0.8	1	0.2547770700636942	17.15	5.0	40.0
49	0.0	0.6673333333333333	1	0.2079701120797011	16.97	6.0	40.0
50	0.0	0.5717142857142857	1	0.17481662591687042	16.82	7.0	40.0
51	0.0	0.5	1	0.15042117930204574	16.69	8.0	40.0
52	0.0	0.4442222222222223	1	0.13182897862232784	16.580000000000002	9.0	40.0
53	0.0	0.4	1	0.11737089201877934	16.48	10.0	40.0
54	0.0	0.3638181818181818	1	0.10581395348837208	16.4	11.0	40.0
55	0.0	0.33266666666666667	1	0.09573241061130336	16.330000000000002	12.0	40.0
56	0.0	0.3078461538461539	1	0.08810068649885586	16.26	13.0	40.0
57	0.4	5.466666666666667	1	0.6702412868632707	17.54	1.0	40.0
58	0.0	2.0	1	0.639386189258312	17.18	2.0	40.0
59	0.0	1.3326666666666669	1	0.41111111111111104	16.9	3.0	40.0
60	0.0	1.0	1	0.3004807692307692	16.68	4.0	40.0
61	0.0	0.8	1	0.23529411764705882	16.5	5.0	40.0
62	0.0	0.6673333333333333	1	0.19306358381502892	16.35	6.0	40.0
63	0.0	0.5717142857142857	1	0.16287015945330294	16.22	7.0	40.0
64	0.0	0.5	1	0.140607424071991	16.11	8.0	40.0
65	0.0	0.4442222222222223	1	0.12347052280311456	16.009999999999998	9.0	40.0
66	0.0	0.4	1	0.11025358324145534	15.93	10.0	40.0
67	0.0	0.3638181818181818	1	0.09956236323851203	15.86	11.0	40.0
68	0.0	0.33266666666666667	1	0.09011943539630834	15.79	12.0	40.0
69	0.0	0.3078461538461539	1	0.08306364617044229	15.73	13.0	40.0
70	0.0	0.2848571428571428	1	0.07618025751072961	15.68	14.0	40.0
71	0.4	5.466666666666667	1	0.6112469437652812	16.82	1.0	40.0
72	0.0	2.0	1	0.5910165484633569	16.54	2.0	40.0
73	0.0	1.3326666666666669	1	0.38364055299539174	16.32	3.0	40.0
74	0.0	1.0	1	0.28216704288939054	16.14	4.0	40.0
75	0.0	0.8	1	0.22197558268590456	15.99	5.0	40.0
76	0.0	0.6673333333333333	1	0.18271334792122537	15.86	6.0	40.0
77	0.0	0.5717142857142857	1	0.1545945945945946	15.75	7.0	40.0
78	0.0	0.5	1	0.13368983957219252	15.65	8.0	40.0
79	0.0	0.4442222222222223	1	0.11770943796394487	15.57	9.0	40.0
80	0.0	0.4	1	0.10526315789473684	15.5	10.0	40.0
81	0.0	0.3638181818181818	1	0.09508881922675026	15.43	11.0	40.0
82	0.0	0.33266666666666667	1	0.08618899273104881	15.370000000000001	12.0	40.0
83	0.0	0.3078461538461539	1	0.07954545454545454	15.32	13.0	40.0
84	0.0	0.28485714285714286	1	0.07297019527235354	15.27	14.0	40.0
85	0.4	5.466666666666667	1	0.5720823798627004	16.26	1.0	40.0
86	0.0	2.0	1	0.5580357142857142	16.04	2.0	40.0
87	0.0	1.3326666666666669	1	0.3643326039387309	15.860000000000001	3.0	40.0
88	0.0	1.0	1	0.26910656620021534	15.71	4.0	40.0
89	0.0	0.8	1	0.2123142250530786	15.580000000000002	5.0	40.0
90	0.0	0.6673333333333333	1	0.17523609653725078	15.47	6.0	40.0
91	0.0	0.5717142857142857	1	0.14849428868120457	15.370000000000001	7.0	40.0
92	0.0	0.5	1	0.12873326467559218	15.290000000000001	8.0	40.0
93	0.0	0.44422222222222224	1	0.11349693251533743	15.22	9.0	40.0
94	0.0	0.4	1	0.10152284263959391	15.15	10.0	40.0
95	0.0	0.3638181818181818	1	0.09182643794147327	15.090000000000002	11.0	40.0
96	0.0	0.33266666666666667	1	0.08333333333333334	15.040000000000001	12.0	40.0
97	0.0	0.3078461538461539	1	0.07692307692307693	14.99	13.0	40.0
98	0.0	0.28485714285714286	1	0.07064676616915423	14.950000000000001	14.0	40.0
99	0.4	5.466666666666667	1	0.5446623093681917	15.82	1.0	40.0
100	0.0	2.0	1	0.5341880341880342	15.64	2.0	40.0
101	0.0	1.3326666666666669	1	0.3501577287066246	15.49	3.0	40.0
102	0.0	1.0	1	0.2593360995850622	15.36	4.0	40.0
103	0.0	0.8	1	0.20512820512820512	15.25	5.0	40.0
104	0.0	0.6673333333333333	1	0.16954314720812183	15.15	6.0	40.0
105	0.0	0.5717142857142857	1	0.14400805639476333	15.07	7.0	40.0
106	0.0	0.5	1	0.125	15.0	8.0	40.0
107	0.0	0.44422222222222224	1	0.1102284011916584	14.93	9.0	40.0
108	0.0	0.4	1	0.0987166831194472	14.870000000000001	10.0	40.0
109	0.0	0.3638181818181818	1	0.0893909626719057	14.82	11.0	40.0
110	0.0	0.33266666666666667	1	0.08113391984359726	14.77	12.0	40.0
111	0.0	0.3078461538461539	1	0.07497565725413827	14.73	13.0	40.0
112	0.0	0.28485714285714286	1	0.06886517943743937	14.69	14.0	40.0
113	0.0	0.2673333333333333	1	0.06473429951690822	14.65	15.0	40.0
114	0.4	5.466666666666667	1	0.5241090146750524	15.46	1.0	40.0
115	0.0	2.0	1	0.5159958720330238	15.31	2.0	40.0
116	0.0	1.3326666666666669	1	0.3391038696537678	15.18	3.0	40.0
