	x	v	cost	plan	vel	init_light
45	10.0	9.0	1.0438918988648092	[7.199999999999999, 6.8, 0.0, 0.0, 0.0]	[9.0, 15.0, 19.0, 19.0, 19.0, 19.0]	1
46	20.0	9.0	0.8870547715053764	[7.199999999999999, 1.55, 0.0, 0.0]	[9.0, 15.0, 16.0, 16.0, 16.0]	1
47	30.0	9.0	0.7083333333333334	[7.199999999999999, 0.0, 0.0]	[9.0, 15.0, 15.0, 15.0]	1
48	40.0	9.0	0.525	[7.199999999999999, 0.0]	[9.0, 15.0, 15.0]	1
49	50.0	9.0	0.3043174342105263	[0.9500000000000001]	[9.0, 10.0]	1
50	10.0	10.0	1.0066365007541478	[7.8, 3.4, 0.0, 0.0, 0.0]	[10.0, 16.0, 18.0, 18.0, 18.0, 18.0]	1
51	20.0	10.0	0.8490384615384616	[7.8, 0.0, 0.0, 0.0]	[10.0, 16.0, 16.0, 16.0, 16.0]	1
52	30.0	10.0	0.6771634615384616	[7.8, 0.0, 0.0]	[10.0, 16.0, 16.0, 16.0]	1
53	40.0	10.0	0.5005952380952381	[4.8, 0.0]	[10.0, 14.0, 14.0]	1
54	50.0	10.0	0.275	[0.0]	[10.0, 10.0]	1
55	10.0	11.0	0.98239549291939	[6.75, 3.4, 0.0, 0.0, 0.0]	[11.0, 16.0, 18.0, 18.0, 18.0, 18.0]	1
56	20.0	11.0	0.8247974537037037	[6.75, 0.0, 0.0, 0.0]	[11.0, 16.0, 16.0, 16.0, 16.0]	1
57	30.0	11.0	0.6529224537037037	[6.75, 0.0, 0.0]	[11.0, 16.0, 16.0, 16.0]	1
58	40.0	11.0	0.4750223214285715	[3.75, 0.0]	[11.0, 14.0, 14.0]	1
59	50.0	11.0	0.25	[0.0]	[11.0, 11.0]	1
60	10.0	12.0	0.9457563628899835	[7.249999999999999, 1.75, 0.0, 0.0, 0.0]	[12.0, 17.0, 18.0, 18.0, 18.0, 18.0]	1
61	20.0	12.0	0.7882305400608519	[7.249999999999999, 0.0, 0.0, 0.0]	[12.0, 17.0, 17.0, 17.0, 17.0]	1
62	30.0	12.0	0.626465834178499	[7.249999999999999, 0.0, 0.0]	[12.0, 17.0, 17.0, 17.0]	1
63	40.0	12.0	0.44859203296703304	[2.5999999999999996, 0.0]	[12.0, 14.0, 14.0]	1
64	50.0	12.0	0.22916666666666669	[0.0]	[12.0, 12.0]	1
65	10.0	13.0	0.9096242159498208	[7.75, 0.0, 0.0, 0.0, 0.0]	[13.0, 18.0, 18.0, 18.0, 18.0, 18.0]	1
66	20.0	13.0	0.7568464381720431	[7.75, 0.0, 0.0, 0.0]	[13.0, 18.0, 18.0, 18.0, 18.0]	1
67	30.0	13.0	0.6006127450980392	[6.0, 0.0, 0.0]	[13.0, 17.0, 17.0, 17.0]	1
68	40.0	13.0	0.42122602513227514	[1.35, 0.0]	[13.0, 14.0, 14.0]	1
69	50.0	13.0	0.21153846153846156	[0.0]	[13.0, 13.0]	1
70	10.0	14.0	0.8829861111111111	[6.4, 0.0, 0.0, 0.0, 0.0]	[14.0, 18.0, 18.0, 18.0, 18.0, 18.0]	1
71	20.0	14.0	0.7302083333333333	[6.4, 0.0, 0.0, 0.0]	[14.0, 18.0, 18.0, 18.0, 18.0]	1
72	30.0	14.0	0.5736050166034156	[4.65, 0.0, 0.0]	[14.0, 17.0, 17.0, 17.0]	1
73	40.0	14.0	0.3928571428571429	[0.0, 0.0]	[14.0, 14.0, 14.0]	1
74	50.0	14.0	0.19642857142857145	[0.0]	[14.0, 14.0]	1
