	cost	init_light	plan	v	vel	x
0	1.35906387339	1	[7.1999999999999993, 7.2499999999999991, 0.0, 0.0, 0.0]	0.0	[0.0, 12.0, 17.0, 17.0, 17.0, 17.0]	10.0
1	1.19729916751	1	[7.1999999999999993, 7.2499999999999991, 0.0, 0.0]	0.0	[0.0, 12.0, 17.0, 17.0, 17.0]	20.0
2	1.0194253663	1	[7.1999999999999993, 2.5999999999999996, 0.0]	0.0	[0.0, 12.0, 14.0, 14.0]	30.0
3	0.8	1	[7.1999999999999993, 0.0]	0.0	[0.0, 12.0, 12.0]	40.0
4	0.8	1	[7.1999999999999993, 0.0]	0.0	[0.0, 12.0, 12.0]	50.0
5	1.32302621314	1	[7.1499999999999995, 7.2499999999999991, 0.0, 0.0, 0.0]	1.0	[1.0, 12.0, 17.0, 17.0, 17.0, 17.0]	10.0
6	1.16126150726	1	[7.1499999999999995, 7.2499999999999991, 0.0, 0.0]	1.0	[1.0, 12.0, 17.0, 17.0, 17.0]	20.0
7	0.983387706044	1	[7.1499999999999995, 2.5999999999999996, 0.0]	1.0	[1.0, 12.0, 14.0, 14.0]	30.0
8	0.763962339744	1	[7.1499999999999995, 0.0]	1.0	[1.0, 12.0, 12.0]	40.0
9	0.763962339744	1	[7.1499999999999995, 0.0]	1.0	[1.0, 12.0, 12.0]	50.0
10	1.29046268292	1	[7.0, 7.2499999999999991, 0.0, 0.0, 0.0]	2.0	[2.0, 12.0, 17.0, 17.0, 17.0, 17.0]	10.0
11	1.12869797704	1	[7.0, 7.2499999999999991, 0.0, 0.0]	2.0	[2.0, 12.0, 17.0, 17.0, 17.0]	20.0
12	0.950824175824	1	[7.0, 2.5999999999999996, 0.0]	2.0	[2.0, 12.0, 14.0, 14.0]	30.0
13	0.731398809524	1	[7.0, 0.0]	2.0	[2.0, 12.0, 12.0]	40.0
14	0.731398809524	1	[7.0, 0.0]	2.0	[2.0, 12.0, 12.0]	50.0
15	1.22559643817	1	[8.0, 7.75, 0.0, 0.0, 0.0]	3.0	[3.0, 13.0, 18.0, 18.0, 18.0, 18.0]	10.0
16	1.0693627451	1	[8.0, 6.0, 0.0, 0.0]	3.0	[3.0, 13.0, 17.0, 17.0, 17.0]	20.0
17	0.889976025132	1	[8.0, 1.3500000000000001, 0.0]	3.0	[3.0, 13.0, 14.0, 14.0]	30.0
18	0.680288461538	1	[8.0, 0.0]	3.0	[3.0, 13.0, 13.0]	40.0
19	0.680288461538	1	[8.0, 0.0]	3.0	[3.0, 13.0, 13.0]	50.0
20	1.19990709994	1	[7.6499999999999995, 7.75, 0.0, 0.0, 0.0]	4.0	[4.0, 13.0, 18.0, 18.0, 18.0, 18.0]	10.0
21	1.04367340686	1	[7.6499999999999995, 6.0, 0.0, 0.0]	4.0	[4.0, 13.0, 17.0, 17.0, 17.0]	20.0
22	0.864286686897	1	[7.6499999999999995, 1.3500000000000001, 0.0]	4.0	[4.0, 13.0, 14.0, 14.0]	30.0
23	0.654599123303	1	[7.6499999999999995, 0.0]	4.0	[4.0, 13.0, 13.0]	40.0
24	0.654599123303	1	[7.6499999999999995, 0.0]	4.0	[4.0, 13.0, 13.0]	50.0
25	1.17490199373	1	[7.1999999999999993, 7.75, 0.0, 0.0, 0.0]	5.0	[5.0, 13.0, 18.0, 18.0, 18.0, 18.0]	10.0
26	1.01866830065	1	[7.1999999999999993, 6.0, 0.0, 0.0]	5.0	[5.0, 13.0, 17.0, 17.0, 17.0]	20.0
27	0.839281580688	1	[7.1999999999999993, 1.3500000000000001, 0.0]	5.0	[5.0, 13.0, 14.0, 14.0]	30.0
28	0.629594017094	1	[7.1999999999999993, 0.0]	5.0	[5.0, 13.0, 13.0]	40.0
29	0.629594017094	1	[7.1999999999999993, 0.0]	5.0	[5.0, 13.0, 13.0]	50.0
30	1.13020833333	1	[8.0, 6.4000000000000004, 0.0, 0.0, 0.0]	6.0	[6.0, 14.0, 18.0, 18.0, 18.0, 18.0]	10.0
31	0.973605016603	1	[8.0, 4.6500000000000004, 0.0, 0.0]	6.0	[6.0, 14.0, 17.0, 17.0, 17.0]	20.0
32	0.792857142857	1	[8.0, 0.0, 0.0]	6.0	[6.0, 14.0, 14.0, 14.0]	30.0
33	0.596428571429	1	[8.0, 0.0]	6.0	[6.0, 14.0, 14.0]	40.0
34	0.596428571429	1	[8.0, 0.0]	6.0	[6.0, 14.0, 14.0]	50.0
