	x	v	t	best_action	h	prob_change	init_light
5816	40.0	5.0	3.9831649831649827	-1.25	1.6903645833333334	1.0	2
5817	40.0	6.0	3.8998316498316496	-1.7999999999999998	1.515625	1.0	2
5818	40.0	7.0	3.826302238066944	-2.4499999999999997	1.3948288690476192	1.0	2
5819	40.0	8.0	3.760942760942761	-3.2	1.3083333333333333	1.0	2
5820	40.0	9.0	3.702463228779018	-4.05	1.2452256944444444	1.0	2
5821	40.0	10.0	3.6498316498316496	-5.0	1.1989583333333333	1.0	2
5822	40.0	11.0	3.602212602212602	6.75	52993.665945079294	0.5299380591878871	2
5823	40.0	12.0	3.558922558922559	7.249999999999999	47856.82138157037	0.47856912665162743	2
5824	40.0	13.0	3.519396867222954	7.75	43574.17059245756	0.4357422161551856	2
5825	40.0	14.0	3.483164983164983	6.4	41204.16719578554	0.4120421753607103	2
5826	40.0	15.0	3.4498316498316495	6.8	37946.52101183047	0.3794654264833648	2
5827	40.0	16.0	3.419062419062419	7.199999999999999	35140.89426901303	0.35140891218872866	2
5828	40.0	5.0	3.852212602212602	-1.25	1.6903645833333334	1.0	2
5829	40.0	6.0	3.7786831904478966	-1.7999999999999998	1.515625	1.0	2
5830	40.0	7.0	3.7133237133237134	-2.4499999999999997	1.3948288690476192	1.0	2
5831	40.0	8.0	3.6548441811599703	-3.2	1.3083333333333333	1.0	2
5832	40.0	9.0	3.602212602212602	-4.05	1.2452256944444444	1.0	2
5833	40.0	10.0	3.5545935545935547	-5.0	1.1989583333333333	1.0	2
5834	40.0	11.0	3.5113035113035114	6.75	49757.571616920584	0.4975767366720517	2
5835	40.0	12.0	3.4717778196039064	7.249999999999999	45127.87935916322	0.4512793893850201	2
5836	40.0	13.0	3.4355459355459357	7.75	41238.72524888019	0.412387493491359	2
5837	40.0	14.0	3.402212602212602	6.4	39116.567138591185	0.391165934132097	2
5838	40.0	15.0	3.3714433714433714	6.8	36120.03856356887	0.3612003929141803	2
5839	40.0	16.0	3.3429533429533427	7.199999999999999	33526.87191783583	0.3352685050798258	2
5840	40.0	7.0	3.611554137869927	-2.4499999999999997	1.3948288690476192	1.0	2
5841	40.0	8.0	3.558922558922559	-3.2	1.3083333333333333	1.0	2
5842	40.0	9.0	3.5113035113035114	-4.05	1.2452256944444444	1.0	2
5843	40.0	10.0	3.468013468013468	-5.0	1.1989583333333333	1.0	2
5844	40.0	11.0	3.428487776313863	6.75	47135.46663781233	0.47135537959944096	2
5845	40.0	12.0	3.3922558922558923	7.249999999999999	42895.79592464497	0.4289582957212494	2
5846	40.0	13.0	3.3589225589225586	7.75	39313.27327587209	0.39313275179689455	2
5847	40.0	14.0	3.328153328153328	6.4	37383.8046997375	0.37383810999225403	2
5848	40.0	15.0	3.2996632996632993	6.8	34595.24095557582	0.34595224228305177	2
5849	40.0	16.0	3.2732082732082732	7.199999999999999	32172.738763153822	0.32172701949860727	2
5850	40.0	17.0	3.248577731336352	7.6000000000000005	30050.819542833924	0.30050764963452714	2
5851	40.0	9.0	3.428487776313863	-4.05	1.2452256944444444	1.0	2
5852	40.0	10.0	3.388962084614258	-5.0	1.1989583333333333	1.0	2
5853	40.0	11.0	3.3527302005562873	6.75	44967.73901790471	0.4496778493668073	2
5854	40.0	12.0	3.319396867222954	7.249999999999999	41036.15877982656	0.41036170822447526	2
5855	40.0	13.0	3.288627636453723	7.75	37698.49216082621	0.3769847544959113	2
5856	40.0	14.0	3.260137607963695	6.4	35922.3917002641	0.359223811527135	2
5857	40.0	15.0	3.2336825815086683	6.8	33302.952499694846	0.33302920978952794	2
5858	40.0	16.0	3.209052039636747	7.199999999999999	31020.245252621695	0.3102019532956579	2
5859	40.0	17.0	3.1860635338896204	7.6000000000000005	29015.183376197074	0.29015117084131514	2
5860	40.0	18.0	3.1645581575455344	8.0	27241.47808837717	0.2724139705409403	2
5861	40.0	10.0	3.3164983164983166	-5.0	1.1989583333333333	1.0	2
5862	40.0	11.0	3.2831649831649834	6.75	43145.690279656104	0.4314571484604825	2
5863	40.0	12.0	3.2523957523957523	7.249999999999999	39462.89798308157	0.39462891747901524	2
5864	40.0	13.0	3.223905723905724	7.75	36324.75353824541	0.3632472099067421	2
5865	40.0	14.0	3.1974506974506975	6.4	34673.14035908198	0.3467311541027352	2
5866	40.0	15.0	3.1728201555787763	6.8	32193.66193648763	0.3219361771714246	2
5867	40.0	16.0	3.1498316498316496	7.199999999999999	30027.35876048933	0.3002729754322111	2
5868	40.0	17.0	3.1283262734875636	7.6000000000000005	28120.137193395585	0.2812006077866943	2
5869	40.0	18.0	3.108164983164983	8.0	26429.456131813127	0.264293659621802	2
5870	40.0	12.0	3.19057239057239	7.249999999999999	38114.570877587554	0.38114548977837087	2
5871	40.0	13.0	3.164117364117364	7.75	35141.79640940785	0.3514175022481254	2
5872	40.0	14.0	3.1394868222454426	6.4	33592.91959512423	0.33592882193627294	2
5873	40.0	15.0	3.116498316498316	6.8	31230.99595325348	0.3123094071378998	2
5874	40.0	16.0	3.09499294015423	7.199999999999999	29162.984262178605	0.2916291321253862	2
5875	40.0	17.0	3.0748316498316495	7.6000000000000005	27338.77432930942	0.2733868907764141	2
5876	40.0	18.0	3.0558922558922554	8.0	25718.837339799094	0.2571873917561482	2
5877	40.0	19.0	3.0380669439492967	6.15	24863.557821826034	0.248634822959104	2
5878	40.0	13.0	3.108717591476212	7.75	34112.430027583294	0.3411237197654429	2
5879	40.0	14.0	3.0857290857290853	6.4	32649.554432662087	0.3264950615613583	2
5880	40.0	15.0	3.0642237093849993	6.8	30387.630697307384	0.3038756580342057	2
5881	40.0	16.0	3.044062419062419	7.199999999999999	28403.62185416609	0.28403542166680457	2
