,v,dv,cost
148,10.0,-3.0,0.735812999999999
149,10.0,-2.0,0.6980789999999991
150,10.0,-1.0,0.6603449999999992
151,10.0,0.0,0.6796635452859471
152,10.0,1.0,1.5165763634640346
153,10.0,2.0,3.217240990620325
154,10.0,3.0,6.141552884111754
155,10.0,4.0,10.779955606073047
156,10.0,5.0,17.562573529203604
157,10.0,6.0,26.48420894225754
158,11.0,-6.0,0.779835999999999
159,11.0,-5.0,0.735812999999999
160,11.0,-4.0,0.6980789999999991
161,11.0,-3.0,0.6603449999999992
162,11.0,-2.0,0.6226109999999992
163,11.0,-1.0,0.5974549999999993
164,11.0,0.0,0.6272305550358875
165,11.0,1.0,1.6193088424932398
166,11.0,2.0,3.765665135074969
167,11.0,3.0,7.465439936314221
168,11.0,4.0,12.952638156272917
169,11.0,5.0,21.3671711501344
170,12.0,-5.0,0.6603449999999992
171,12.0,-4.0,0.6226109999999992
172,12.0,-3.0,0.5974549999999993
173,12.0,-2.0,0.5660099999999993
174,12.0,-1.0,0.5408539999999994
175,12.0,0.0,0.5881797600357537
176,12.0,1.0,1.787371202973991
177,12.0,2.0,4.347392050193423
178,12.0,3.0,8.90107565794212
179,12.0,4.0,15.720837338186938
180,12.0,5.0,25.333808116822514
181,13.0,-4.0,0.5660099999999993
182,13.0,-3.0,0.5408539999999994
183,13.0,-2.0,0.5219869999999994
184,13.0,-1.0,0.5031199999999995
185,13.0,0.0,0.5486225879224699
186,13.0,1.0,1.9664365021839594
187,13.0,2.0,5.097541927133763
188,13.0,3.0,10.402912770118538
189,13.0,4.0,18.685469496010906
190,13.0,5.0,30.53909521607171
191,14.0,-4.0,0.5219869999999994
192,14.0,-3.0,0.5031199999999995
193,14.0,-2.0,0.47796399999999944
194,14.0,-1.0,0.46538599999999947
195,14.0,0.0,0.5231025253025945
196,14.0,1.0,2.1503862615133977
197,14.0,2.0,5.898613037124616
198,14.0,3.0,12.364151645655117
199,14.0,4.0,22.204091193261473
200,15.0,-3.0,0.46538599999999947
201,15.0,-2.0,0.4465189999999995
202,15.0,-1.0,0.42765199999999953
203,15.0,0.0,0.49732456511227424
204,15.0,1.0,2.4099184407994856
205,15.0,2.0,6.85147796407384
206,15.0,3.0,14.465783144322913
207,15.0,4.0,25.928074624506905
208,16.0,-3.0,0.42765199999999953
209,16.0,-2.0,0.41507399999999955
210,16.0,-1.0,0.4024959999999996
211,16.0,0.0,0.47886367301006133
212,16.0,1.0,2.6852825073631723
213,16.0,2.0,7.858985286230067
214,16.0,3.0,17.01107740694615
215,16.0,4.0,30.440584177885533
216,17.0,-3.0,0.4024959999999996
217,17.0,-2.0,0.3899179999999996
218,17.0,-1.0,0.3773399999999996
219,17.0,0.0,0.46024028511656967
220,17.0,1.0,3.0264084128676747
221,17.0,2.0,9.08032952308801
222,17.0,3.0,19.745970544685864
223,17.0,4.0,35.23988400917279
224,18.0,-3.0,0.3773399999999996
225,18.0,-2.0,0.36476199999999964
226,18.0,-1.0,0.35847299999999965
227,18.0,0.0,0.4494904111578468
228,18.0,1.0,3.3905803857020014
229,18.0,2.0,10.378717687077685
230,18.0,3.0,22.633898555973285
231,18.0,4.0,40.249800849466865
232,19.0,-2.0,0.3458949999999997
233,19.0,-1.0,0.3396059999999997
234,19.0,0.0,0.4388087712557255
235,19.0,1.0,3.773250870652675
236,19.0,2.0,11.735158367235186
237,19.0,3.0,25.627672153188932
238,20.0,-2.0,0.3270279999999997
239,20.0,-1.0,0.3207389999999997
240,20.0,0.0,0.42809358140674336
241,20.0,1.0,4.168490582212631
242,20.0,2.0,13.437143458091313
243,21.0,-2.0,0.30816099999999974
244,21.0,-1.0,0.30187199999999975
245,21.0,0.0,0.4262897188786572
246,21.0,1.0,4.67474372532783
247,22.0,-2.0,0.29558299999999976
248,22.0,-1.0,0.2892939999999998
249,22.0,0.0,0.42492044730451234
