	v0	t0	det	sto	dum
0	15.0	27.582836913214223	8.484701132006284	9.835324457658148	23.760335936499686
1	15.0	27.057286484445893	8.909678628359964	10.168641457658135	24.093652936499673
2	15.0	35.15225075808962	2.9112309224996853	3.4158613668331927	13.132347516584591
3	15.0	15.306070326415611	2.9112309224996853	2.9112309224996853	3.4457958565720563
4	15.0	2.2640677305477386	2.9112309224996853	2.9112309224996853	3.4457958565720563
5	15.0	4.084623185317503	2.9112309224996853	2.9112309224996853	3.4457958565720563
6	15.0	11.442462292555446	2.9112309224996853	2.9112309224996853	3.4457958565720563
7	15.0	3.9215056118402796	2.9112309224996853	2.9112309224996853	3.4457958565720563
8	15.0	9.49543640041765	2.9112309224996853	2.9112309224996853	3.4457958565720563
9	15.0	27.697093947091773	8.57794113015298	9.766145457658157	23.691156936499688
10	15.0	34.51486418356923	2.959309571591618	3.5446076984172987	15.787402920464142
11	15.0	26.70960138995432	9.054181003135758	10.388756457658129	24.313767936499666
12	15.0	6.606228025090266	2.9112309224996853	2.9112309224996853	3.4457958565720563
13	15.0	23.925918724037423	10.83475734477505	12.137098457658189	26.062109936499716
14	15.0	4.665317448166778	2.9112309224996853	2.9112309224996853	3.4457958565720563
15	15.0	11.692604886012617	2.9112309224996853	2.9112309224996853	3.4457958565720563
16	15.0	2.1296983764025113	2.9112309224996853	2.9112309224996853	3.4457958565720563
17	15.0	37.668578144818895	2.9112309224996853	2.9864728834553875	3.4022972845139567
18	15.0	5.570351774958366	2.9112309224996853	2.9112309224996853	3.4457958565720563
19	15.0	22.752926100534225	12.413157538055229	12.122241773321141	26.797922936499795
20	15.0	2.683919123214735	2.9112309224996853	2.9112309224996853	3.4457958565720563
21	15.0	30.833089925870993	5.99938399417293	7.791399457658229	21.71641093649975
22	15.0	34.281330206632674	3.042634711262117	3.758877791754594	16.587522044869743
23	15.0	33.53495757564098	3.6090953979538005	4.6721838663509905	18.555643653265438
24	15.0	26.816759344711112	9.147610326763644	10.31957745765813	24.244588936499667
25	15.0	30.130832802683422	6.581570914885253	8.231629457658206	22.156640936499734
26	15.0	23.852222155545906	11.179482685458156	12.181121457658193	26.106132936499726
27	15.0	17.44922905574666	2.9112309224996853	2.9112309224996853	66.90073573814581
28	15.0	26.720587040388494	9.054181003135758	10.37617845765813	24.30118993649966
29	15.0	25.494702383619426	10.185378721630103	11.149725457658107	25.07473693649964
30	15.0	32.850943071898804	4.201049991530091	6.521021457658223	19.759197931031522
31	15.0	23.172513441847226	11.583825327412725	12.608773457658238	26.533784936499764
32	15.0	6.739191151352941	2.9112309224996853	2.9112309224996853	3.4457958565720563
33	15.0	36.61377503782079	2.9112309224996853	3.236871701144125	3.738053743363802
34	15.0	13.10947825147707	2.9112309224996853	2.9112309224996853	3.4457958565720563
35	15.0	25.771104083394835	9.734376306936195	10.973633457658117	24.89864493649965
36	15.0	24.520806730065775	10.76463981300225	11.75975845765815	25.684769936499684
37	15.0	13.740529822655008	2.9112309224996853	2.9112309224996853	3.4457958565720563
38	15.0	19.712912093736236	4.716858393768807	4.741325564549602	72.35215113187921
39	15.0	31.340103144225957	5.390568378795664	7.470660457658241	21.39567193649976
40	15.0	17.445186108199806	2.9112309224996853	2.9112309224996853	66.90073573814581
41	15.0	32.00664066557775	4.92400479310384	7.055586457658241	20.763800824331167
42	15.0	16.973302480052958	2.9112309224996853	2.9112309224996853	44.59198078995332
43	15.0	20.888452549752277	13.652414354750572	13.302692104877531	27.97396593649991
44	15.0	8.006111667047428	2.9112309224996853	2.9112309224996853	3.4457958565720563
45	15.0	0.23353594497247898	2.9112309224996853	2.9112309224996853	3.4457958565720563
46	15.0	26.70929027946648	9.054181003135758	10.388756457658129	24.313767936499666
47	15.0	34.16550029087159	3.1090350144547676	3.8206449583290256	16.922914072050833
48	15.0	23.602090096039067	11.519387999312908	12.33834645765821	26.263357936499737
49	15.0	4.326706406768272	2.9112309224996853	2.9112309224996853	3.4457958565720563
50	15.0	2.957075456817699	2.9112309224996853	2.9112309224996853	3.4457958565720563
51	15.0	29.621991486163562	7.04306855062923	8.552368457658194	22.477379936499723
52	15.0	36.09917751293169	2.9112309224996853	3.3311570115132345	7.705227084709923
