	v0	t0	det	sto	dum
0	10.0	0.0	409.92781681108056	411.13981681108424	1002.8662165855778
1	10.0	2.0	409.92781681108056	411.13981681108424	1002.8662165855778
2	10.0	4.0	409.92781681108056	411.13981681108424	1002.8662165855778
3	10.0	6.0	409.92781681108056	411.13981681108424	1002.8662165855778
4	10.0	8.0	409.92781681108056	411.13981681108424	1002.8662165855778
5	10.0	10.0	409.92781681108056	411.13981681108424	1002.8662165855778
6	10.0	12.0	409.92781681108056	411.13981681108424	1002.8662165855778
7	10.0	14.0	409.92781681108056	411.13981681108424	1002.8662165855778
8	10.0	16.0	409.92781681108056	411.13981681108424	1609.9254412221521
9	10.0	18.0	409.92781681108056	411.13981681108424	8550.928796502101
10	10.0	20.0	1348.0712940526746	1401.835387367113	2854.1570942765766
11	10.0	22.0	1197.4223618696878	1208.1956045446766	2728.3770942765877
12	10.0	24.0	1075.0247155268898	1243.1432182166195	2602.597094276579
13	10.0	26.0	947.1399916866301	1117.1632182166152	2476.8170942765705
14	10.0	28.0	792.2833109693978	991.1832182166098	2351.0370942765617
15	10.0	30.0	645.4871884750622	865.2032182166057	2205.8905362765695
16	10.0	32.0	486.4587869287567	739.2232182166116	2036.4383647078462
17	10.0	34.0	409.92781681108056	411.13981681108424	1804.2128177393133
18	10.0	36.0	409.92781681108056	411.13981681108424	1471.8274670942073
19	10.0	38.0	409.92781681108056	411.13981681108424	1002.8662165855778
