	best_action	h	init_light	prob_change	t	v	x
0	1.75	4.071161808281257	1	0.2670401493930905	14.29	1.0	40.0
1	1.05	3.7199644201275612	1	0.20370370370370372	10.96	2.0	40.0
2	0.8	3.3397911320248452	1	0.15913430935709738	9.29	3.0	40.0
3	0.44999999999999996	2.9651513640277543	1	0.13285457809694795	8.29	4.0	40.0
4	0.55	2.5741275925962457	1	0.10471806674338321	7.62	5.0	40.0
5	0.0	2.1764043035460676	1	0.09355742296918766	7.15	6.0	40.0
6	0.0	1.8799296581238858	1	0.0785282811641955	6.79	7.0	40.0
7	0.0	1.6595390740338762	1	0.06760411032990805	6.51	8.0	40.0
8	0.0	1.4876405012769625	1	0.059326563335114914	6.29	9.0	40.0
9	0.0	1.3400085452859463	1	0.05293806246691371	6.11	10.0	40.0
10	0.0	1.2246855550358866	1	0.04779411764705883	5.96	11.0	40.0
11	0.0	1.1290337600357532	1	0.04329681794470526	5.83	12.0	40.0
12	1.75	4.071161808281257	1	0.19972067039106145	10.68	1.0	40.0
13	1.05	3.7199644201275612	1	0.17886178861788618	9.01	2.0	40.0
14	0.8	3.3397911320248452	1	0.14714537963507945	8.01	3.0	40.0
15	0.44999999999999996	2.9651513640277543	1	0.12570781426953567	7.34	4.0	40.0
16	0.55	2.5741275925962457	1	0.10038610038610038	6.869999999999999	5.0	40.0
17	0.0	2.1764043035460676	1	0.09031909140075715	6.51	6.0	40.0
18	0.0	1.8799296581238862	1	0.0761854022376132	6.23	7.0	40.0
19	0.0	1.6595390740338762	1	0.06582411795681938	6.01	8.0	40.0
20	0.0	1.4876405012769625	1	0.057902973395931145	5.83	9.0	40.0
21	0.0	1.3400085452859463	1	0.05175983436853002	5.68	10.0	40.0
22	0.0	1.2246855550358866	1	0.04678663239074551	5.55	11.0	40.0
23	0.0	1.1290337600357532	1	0.04243353783231083	5.4399999999999995	12.0	40.0
24	1.75	4.071161808281257	1	0.17643429981492903	8.79	1.0	40.0
25	1.05	3.7199644201275612	1	0.1661824520627542	7.79	2.0	40.0
26	0.8	3.3397911320248452	1	0.13982102908277405	7.12	3.0	40.0
27	0.44999999999999996	2.9651513640277543	1	0.12098092643051771	6.65	4.0	40.0
28	0.55	2.5741275925962457	1	0.09727418492784608	6.29	5.0	40.0
29	0.0	2.1764043035460676	1	0.08794102159031068	6.01	6.0	40.0
30	0.0	1.8799296581238862	1	0.07444039562727746	5.79	7.0	40.0
31	0.0	1.6595390740338762	1	0.06446621970087674	5.61	8.0	40.0
32	0.0	1.4876405012769625	1	0.05680655066530195	5.46	9.0	40.0
33	0.0	1.3400085452859463	1	0.05083884087442806	5.33	10.0	40.0
34	0.0	1.2246855550358868	1	0.04600606673407482	5.22	11.0	40.0
35	0.0	1.129033760035753	1	0.041750503018108655	5.12	12.0	40.0
36	-1.25	1.0439739999999988	1	0.04008016032064128	5.04	13.0	40.0
37	1.75	4.071161808281257	1	0.16446233467510063	7.61	1.0	40.0
38	1.05	3.7199644201275612	1	0.1583610188261351	6.94	2.0	40.0
39	0.8	3.3397911320248452	1	0.13491635186184564	6.470000000000001	3.0	40.0
40	0.44999999999999996	2.9651513640277543	1	0.11752249867654845	6.11	4.0	40.0
41	0.55	2.5741275925962457	1	0.09494001043296818	5.83	5.0	40.0
42	0.0	2.1764043035460676	1	0.08612686952037132	5.61	6.0	40.0
43	0.0	1.8799296581238862	1	0.07307102708226877	5.430000000000001	7.0	40.0
44	0.0	1.6595390740338762	1	0.06338742393509128	5.28	8.0	40.0
45	0.0	1.4876405012769622	1	0.05591939546599496	5.15	9.0	40.0
46	0.0	1.3400085452859463	1	0.0501002004008016	5.04	10.0	40.0
47	0.0	1.2246855550358868	1	0.04536390827517448	4.94	11.0	40.0
48	0.0	1.1290337600357532	1	0.041211519364448855	4.86	12.0	40.0
49	-1.25	1.0439739999999988	1	0.039584364176150424	4.79	13.0	40.0
50	1.75	4.071161808281257	1	0.157056562328391	6.79	1.0	40.0
51	1.05	3.7199644201275612	1	0.15310492505353318	6.32	2.0	40.0
52	0.8	3.3397911320248452	1	0.13130252100840337	5.96	3.0	40.0
53	0.44999999999999996	2.9651513640277543	1	0.11490683229813665	5.68	4.0	40.0
54	0.55	2.5741275925962457	1	0.09314227226202662	5.46	5.0	40.0
55	0.0	2.1764043035460676	1	0.08468559837728194	5.28	6.0	40.0
56	0.0	1.879929658123886	1	0.0719677906391545	5.13	7.0	40.0
57	0.0	1.6595390740338762	1	0.0625	5.0	8.0	40.0
58	0.0	1.4876405012769625	1	0.05519641969169568	4.89	9.0	40.0
59	0.0	1.3400085452859463	1	0.04948045522018803	4.79	10.0	40.0
