	v0	t0	det	sto	dum
0	10.0	0.0	409.92781681108056	411.13981681108424	1002.8662165855778
1	10.0	2.0	409.92781681108056	411.13981681108424	1002.8662165855778
2	10.0	4.0	409.92781681108056	411.13981681108424	1002.8662165855778
3	10.0	6.0	409.92781681108056	411.13981681108424	1002.8662165855778
4	10.0	8.0	409.92781681108056	411.13981681108424	1002.8662165855778
5	10.0	10.0	409.92781681108056	411.13981681108424	1002.8662165855778
6	10.0	12.0	409.92781681108056	411.13981681108424	1002.8662165855778
7	10.0	14.0	409.92781681108056	411.13981681108424	1002.8662165855778
8	10.0	16.0	409.92781681108056	411.13981681108424	1002.8662165855778
9	10.0	18.0	409.92781681108056	411.13981681108424	1002.8662165855778
10	10.0	20.0	409.92781681108056	411.13981681108424	1002.8662165855778
11	10.0	22.0	409.92781681108056	411.13981681108424	5704.430131257015
12	10.0	24.0	409.92781681108056	411.13981681108424	8531.99848650967
13	10.0	26.0	851.1095300289287	2240.21060683701	3608.837094276495
14	10.0	28.0	1982.9992407410873	2121.4536614027893	3483.057094276508
15	10.0	30.0	1869.2893864457606	1989.0750850224758	3357.277094276522
16	10.0	32.0	1736.6579799163044	1863.0950850224945	3231.497094276536
17	10.0	34.0	1648.5179610006826	1737.115085022513	3105.7170942765497
18	10.0	36.0	1473.0579374793897	1611.1350850225317	2979.9370942765627
19	10.0	38.0	1348.0712940526746	1485.1550850225503	2854.1570942765766
20	10.0	40.0	1197.4223618696878	1359.1750850225683	2728.3770942765877
21	10.0	42.0	1075.0247155268898	1233.195085022562	2602.597094276579
22	10.0	44.0	947.1399916866301	1107.2150850225569	2476.8170942765705
23	10.0	46.0	792.2833109693978	981.2350850225521	2351.0370942765617
24	10.0	48.0	645.4871884750622	855.255085022548	2205.8905362765695
25	10.0	50.0	486.4587869287567	601.0327028365513	2036.4383647078462
26	10.0	52.0	409.92781681108056	461.26340128991546	1804.2128177393133
27	10.0	54.0	409.92781681108056	436.3685590492751	1471.8274670942073
28	10.0	56.0	409.92781681108056	411.13981681108424	1002.8662165855778
