	best_action	h	init_light	prob_change	t	v	x
0	0.0	1.1290337600357532	1	1.0	19.92	12.0	40.0
1	0.44999999999999996	2.9651513640277543	1	1.0	19.68	4.0	40.0
2	0.55	2.5741275925962457	1	1.0	19.32	5.0	40.0
3	0.0	2.1764043035460676	1	1.0	19.04	6.0	40.0
4	0.0	1.879929658123886	1	1.0	18.82	7.0	40.0
5	0.0	1.6595390740338762	1	0.9191176470588239	18.64	8.0	40.0
6	0.0	1.4876405012769625	1	0.7350993377483453	18.490000000000002	9.0	40.0
7	0.0	1.3400085452859463	1	0.6097560975609754	18.36	10.0	40.0
8	0.0	1.2246855550358868	1	0.52	18.25	11.0	40.0
9	0.0	1.1290337600357532	1	0.4486486486486483	18.15	12.0	40.0
10	-1.25	1.0439739999999986	1	0.4145077720207255	18.07	13.0	40.0
11	1.75	4.071161808281257	1	1.0	19.82	1.0	40.0
12	1.05	3.7199644201275612	1	1.0	19.15	2.0	40.0
13	0.8	3.3397911320248452	1	1.0	18.68	3.0	40.0
14	0.44999999999999996	2.9651513640277543	1	1.0	18.32	4.0	40.0
15	0.55	2.5741275925962457	1	0.9285714285714282	18.04	5.0	40.0
16	0.0	2.1764043035460676	1	0.7660550458715597	17.82	6.0	40.0
17	0.0	1.879929658123886	1	0.6059322033898307	17.64	7.0	40.0
18	0.0	1.6595390740338762	1	0.49800796812749043	17.490000000000002	8.0	40.0
19	0.0	1.4876405012769625	1	0.4204545454545454	17.36	9.0	40.0
20	0.0	1.3400085452859463	1	0.36363636363636365	17.25	10.0	40.0
21	0.0	1.2246855550358868	1	0.3192982456140349	17.15	11.0	40.0
22	0.0	1.1290337600357532	1	0.2832764505119454	17.07	12.0	40.0
23	-1.25	1.0439739999999988	1	0.26666666666666666	17.0	13.0	40.0
24	1.75	4.071161808281257	1	1.0	18.48	1.0	40.0
25	1.05	3.7199644201275612	1	1.0	18.01	2.0	40.0
26	0.8	3.3397911320248452	1	1.0	17.65	3.0	40.0
27	0.44999999999999996	2.9651513640277543	1	0.8441064638783274	17.37	4.0	40.0
