	x	v	t	best_action	h	prob_change	init_light
0	40.0	7.0	2.925748715222399	7.3500000000000005	0.5731770833333334	0.04314442832485621	1
1	40.0	8.0	2.873117136275031	6.6000000000000005	0.5495535714285715	0.04108535823549198	1
2	40.0	9.0	2.8254980886559835	7.199999999999999	0.525	0.037580701323758584	1
3	40.0	10.0	2.78220804536594	4.8	0.5005952380952381	0.03750747756729811	1
4	40.0	11.0	2.742682353666335	3.75	0.4750223214285715	0.035943235061471124	1
5	40.0	12.0	2.7064504696083644	2.5999999999999996	0.448592032967033	0.03450463409526226	1
6	40.0	13.0	2.673117136275031	1.35	0.42122602513227514	0.03317707828996767	1
7	40.0	14.0	2.6423479055058	0.0	0.3928571428571429	0.03194815409358725	1
8	40.0	15.0	2.6138578770157714	0.0	0.36666666666666664	0.029780328517712246	1
9	40.0	16.0	2.5874028505607454	0.0	0.34375	0.027886103329869426	1
10	40.0	17.0	2.562772308688824	0.0	0.3235294117647059	0.026216932956714675	1
11	40.0	9.0	2.7557530189109136	7.199999999999999	0.525	0.037462870019461234	1
12	40.0	10.0	2.7162273272113087	4.8	0.5005952380952381	0.03739642050607251	1
13	40.0	11.0	2.679995443153338	3.75	0.4750223214285715	0.035842286589256096	1
14	40.0	12.0	2.6466621098200047	2.5999999999999996	0.44859203296703304	0.034412344724977235	1
15	40.0	13.0	2.6158928790507736	1.35	0.42122602513227514	0.033092262145559666	1
16	40.0	14.0	2.5874028505607454	0.0	0.3928571428571429	0.03186983237699363	1
17	40.0	15.0	2.560947824105719	0.0	0.36666666666666664	0.02971010813829517	1
18	40.0	16.0	2.5363172822337976	0.0	0.34375	0.027822686415780635	1
19	40.0	17.0	2.513328776486671	0.0	0.3235294117647059	0.026159287351635894	1
20	40.0	18.0	2.491823400142585	0.0	0.3055555555555556	0.02468238833522725	1
21	40.0	10.0	2.6553649012814167	4.8	0.5005952380952381	0.03729455995372792	1
22	40.0	11.0	2.6220315679480835	3.75	0.4750223214285715	0.03574944715956261	1
23	40.0	12.0	2.591262337178853	2.5999999999999996	0.44859203296703304	0.034327269157468775	1
24	40.0	13.0	2.562772308688824	1.35	0.42122602513227514	0.033013915575122184	1
25	40.0	14.0	2.5363172822337976	0.0	0.3928571428571429	0.0317973559037493	1
26	40.0	15.0	2.511686740361877	0.0	0.3666666666666666	0.029645027573641798	1
27	40.0	16.0	2.48869823461475	0.0	0.34375	0.027763831985986618	1
28	40.0	17.0	2.467192858270664	0.0	0.3235294117647059	0.026105726215899325	1
29	40.0	18.0	2.447031567948083	0.0	0.3055555555555556	0.024633367320552314	1
30	40.0	12.0	2.539783802941698	2.5999999999999996	0.44859203296703304	0.03424859148646656	1
31	40.0	13.0	2.5133287764866714	1.35	0.42122602513227514	0.03294132481317112	1
32	40.0	14.0	2.48869823461475	0.0	0.3928571428571429	0.03173009369827042	1
33	40.0	15.0	2.4657097288676235	0.0	0.36666666666666664	0.029584542430462168	1
34	40.0	16.0	2.4442043525235375	0.0	0.34375	0.027709064657620484	1
35	40.0	17.0	2.424043062200957	0.0	0.3235294117647059	0.026055829914025115	1
36	40.0	18.0	2.405103668261563	0.0	0.3055555555555556	0.02458765676101739	1
