	best_action	h	init_light	prob_change	t	v	x
80	0.0	1.1290337600357532	1	0.22311827956989252	16.28	12.0	40.0
81	-1.25	1.0439739999999988	1	0.21276595744680843	16.24	13.0	40.0
82	-1.35	0.9685059999999989	1	0.19473684210526312	16.2	14.0	40.0
83	-1.45	0.8930379999999989	1	0.1796875	16.16	15.0	40.0
84	1.75	4.071161808281257	1	0.9438943894389435	16.97	1.0	40.0
85	1.05	3.7199644201275612	1	0.89937106918239	16.82	2.0	40.0
86	0.8	3.3397911320248452	1	0.7552870090634444	16.69	3.0	40.0
87	0.44999999999999996	2.9651513640277543	1	0.6491228070175442	16.580000000000002	4.0	40.0
88	0.55	2.5741275925962457	1	0.5170454545454546	16.48	5.0	40.0
89	0.0	2.1764043035460676	1	0.4638888888888887	16.4	6.0	40.0
90	0.0	1.8799296581238858	1	0.3896457765667577	16.330000000000002	7.0	40.0
91	0.0	1.6595390740338762	1	0.3342245989304814	16.26	8.0	40.0
92	0.0	1.4876405012769625	1	0.2921052631578947	16.2	9.0	40.0
93	0.0	1.3400085452859463	1	0.25974025974025966	16.15	10.0	40.0
94	0.0	1.2246855550358868	1	0.23333333333333342	16.1	11.0	40.0
95	0.0	1.1290337600357532	1	0.21065989847715727	16.06	12.0	40.0
96	-1.25	1.0439739999999988	1	0.20100502512562812	16.02	13.0	40.0
97	-1.35	0.9685059999999989	1	0.18407960199004977	15.98	14.0	40.0
98	-1.45	0.8930379999999989	1	0.1703703703703704	15.950000000000001	15.0	40.0
99	-1.55	0.830147999999999	1	0.15931372549019607	15.92	16.0	40.0
100	0.55	2.5741275925962452	1	0.48533333333333334	16.25	5.0	40.0
101	0.0	2.1764043035460676	1	0.4371727748691099	16.18	6.0	40.0
102	0.0	1.8799296581238858	1	0.36760925449871457	16.11	7.0	40.0
103	0.0	1.6595390740338762	1	0.3164556962025317	16.05	8.0	40.0
104	0.0	1.4876405012769625	1	0.2775	16.0	9.0	40.0
105	0.0	1.3400085452859463	1	0.24691358024691354	15.95	10.0	40.0
106	0.0	1.2246855550358866	1	0.22249388753056237	15.91	11.0	40.0
107	0.0	1.1290337600357532	1	0.20096852300242127	15.87	12.0	40.0
108	-1.25	1.0439739999999988	1	0.19184652278177458	15.83	13.0	40.0
109	-1.35	0.9685059999999989	1	0.17619047619047623	15.8	14.0	40.0
110	-1.45	0.8930379999999989	1	0.16312056737588648	15.77	15.0	40.0
111	-1.55	0.830147999999999	1	0.15258215962441316	15.74	16.0	40.0
112	0.0	1.8799296581238862	1	0.3504901960784315	15.920000000000002	7.0	40.0
113	0.0	1.6595390740338762	1	0.30266343825665865	15.870000000000001	8.0	40.0
114	0.0	1.4876405012769625	1	0.2655502392344498	15.82	9.0	40.0
115	0.0	1.3400085452859463	1	0.23696682464454982	15.780000000000001	10.0	40.0
116	0.0	1.2246855550358868	1	0.21361502347417843	15.74	11.0	40.0
117	0.0	1.1290337600357532	1	0.19302325581395352	15.700000000000001	12.0	40.0
