	v0	t0	det	sto	dum
0	15.0	0.0	291.12309224996454	291.9430922499665	344.57958565720344
1	15.0	2.0	291.12309224996454	291.9430922499665	344.57958565720344
2	15.0	4.0	291.12309224996454	291.9430922499665	344.57958565720344
3	15.0	6.0	291.12309224996454	291.9430922499665	344.57958565720344
4	15.0	8.0	291.12309224996454	291.9430922499665	344.57958565720344
5	15.0	10.0	291.12309224996454	291.9430922499665	344.57958565720344
6	15.0	12.0	291.12309224996454	291.9430922499665	344.57958565720344
7	15.0	14.0	291.12309224996454	291.9430922499665	344.57958565720344
8	15.0	16.0	291.12309224996454	291.9430922499665	631.998272214332
9	15.0	18.0	291.12309224996454	291.9430922499665	7895.0073304033185
10	15.0	20.0	915.778895380363	1424.8015766875533	2852.7397936499847
11	15.0	22.0	1246.3201521550588	1261.6190581159606	2726.959793649996
12	15.0	24.0	1107.894519031008	1218.9271926408196	2601.179793649987
13	15.0	26.0	975.1837076661617	1092.9471926408148	2475.3997936499786
14	15.0	28.0	828.5041454815304	966.9671926408103	2349.61979364997
15	15.0	30.0	674.5677086921266	840.987192640807	2223.839793649962
16	15.0	32.0	492.40047931038816	715.0071926408143	2076.3800824331056
17	15.0	34.0	318.7398326014673	403.8059633623193	1744.6861914224637
18	15.0	36.0	291.12309224996454	334.13570115132603	831.0502059755308
19	15.0	38.0	291.12309224996454	291.9430922499665	344.57958565720344
