	v0	t0	det	sto	dum
0	5.0	0.0	662.1604116052023	675.3606661030233	1831.009292282755
1	5.0	2.0	662.1604116052023	675.3606661030233	1831.009292282755
2	5.0	4.0	662.1604116052023	675.3606661030233	1831.009292282755
3	5.0	6.0	662.1604116052023	675.3606661030233	1831.009292282755
4	5.0	8.0	662.1604116052023	675.3606661030233	1831.009292282755
5	5.0	10.0	662.1604116052023	675.3606661030233	1831.009292282755
6	5.0	12.0	662.1604116052023	675.3606661030233	1831.009292282755
7	5.0	14.0	662.1604116052023	675.3606661030233	1831.009292282755
8	5.0	16.0	662.1604116052023	675.3606661030233	1831.009292282755
9	5.0	18.0	662.1604116052023	675.3606661030233	1831.009292282755
10	5.0	20.0	662.1604116052023	675.3606661030798	1831.009292282755
11	5.0	22.0	662.1604116052023	675.3606655782302	7656.3730490443195
12	5.0	24.0	750.017423894517	781.2185324993766	9356.118084589778
13	5.0	26.0	2056.87519893129	2251.166893442903	3608.837094276495
14	5.0	28.0	2003.0094829383127	2041.099753116857	3483.057094276508
15	5.0	30.0	1853.7343617822205	2032.3082327248708	3357.277094276522
16	5.0	32.0	1720.3506017969603	1906.3282327248894	3231.497094276536
17	5.0	34.0	1591.9973490276493	1780.348232724908	3105.7170942765497
18	5.0	36.0	1467.887502243754	1654.3682327249267	2979.9370942765627
19	5.0	38.0	1329.448357897532	1528.3882327249453	2845.1714142161163
20	5.0	40.0	1209.441434234178	1402.408232724964	2721.08227073813
21	5.0	42.0	1076.5203263543808	1276.4282327249623	2603.5941930851686
22	5.0	44.0	946.8438984978136	1150.4482327249577	2492.8830519414323
23	5.0	46.0	779.8244072508166	1024.4682327249525	2375.0988393410453
24	5.0	48.0	696.1635233589045	781.3997528685074	2262.89695723717
25	5.0	50.0	662.1604116052023	701.4660151981591	2155.7418764826125
26	5.0	52.0	662.1604116052023	697.7241967965087	2052.3884273671247
27	5.0	54.0	662.1604116052023	678.4981845646275	1940.3997324887432
28	5.0	56.0	662.1604116052023	675.3606661030233	1831.009292282755
