	best_action	h	init_light	prob_change	t	v	x
0	0.15	4.207839074886308	1	0.33166560137532786	4.899432925748715	1.0	40.0
1	0.0	2.0	1	0.2453584938475586	4.621655147970937	2.0	40.0
2	0.0	1.3333333333333335	1	0.16180784350833127	4.399432925748715	3.0	40.0
3	0.0	1.0	1	0.12029418034534214	4.217614743930533	4.0	40.0
4	0.0	0.8	1	0.09553881317192923	4.066099592415382	5.0	40.0
5	0.0	0.6666666666666667	1	0.07913105666641856	3.9378944642102534	6.0	40.0
6	0.0	0.5714285714285715	1	0.06747457596718939	3.828004354320144	7.0	40.0
7	0.0	0.5	1	0.05877586221263051	3.732766259082048	8.0	40.0
8	0.0	0.4444444444444445	1	0.05204129273227162	3.649432925748715	9.0	40.0
9	0.0	0.4	1	0.04667641413269042	3.5759035139840094	10.0	40.0
10	0.0	0.36363636363636365	1	0.042304044860429636	3.510544036859826	11.0	40.0
11	0.0	0.33333333333333337	1	0.038673465191825324	3.452064504696083	12.0	40.0
12	0.0	0.3076923076923077	1	0.035611600685600625	3.399432925748715	13.0	40.0
13	0.0	0.28571428571428575	1	0.03299517614383862	3.3518138781296676	14.0	40.0
14	0.15	4.201782575258186	1	0.3263019116677654	4.569023569023569	1.0	40.0
15	0.0	2.0	1	0.2420932507336159	4.346801346801347	2.0	40.0
16	0.0	1.3333333333333335	1	0.15998707175177765	4.164983164983165	3.0	40.0
17	0.0	1.0	1	0.1191240173271298	4.013468013468014	4.0	40.0
18	0.0	0.8	1	0.09472057308277318	3.885262885262885	5.0	40.0
19	0.0	0.6666666666666667	1	0.07852513257489915	3.7753727753727757	6.0	40.0
20	0.0	0.5714285714285715	1	0.06700658785308185	3.68013468013468	7.0	40.0
21	0.0	0.5	1	0.05840248554685964	3.596801346801347	8.0	40.0
22	0.0	0.4444444444444445	1	0.05173558596775978	3.5232719350366413	9.0	40.0
23	0.0	0.4	1	0.046420756486401996	3.457912457912458	10.0	40.0
24	0.0	0.36363636363636365	1	0.04208643717389164	3.399432925748715	11.0	40.0
25	0.0	0.33333333333333337	1	0.038485461048048515	3.346801346801347	12.0	40.0
26	0.0	0.3076923076923077	1	0.03544708682575515	3.2991822991822994	13.0	40.0
27	0.0	0.28571428571428575	1	0.032849621731628545	3.255892255892256	14.0	40.0
28	0.15	4.19697973061939	1	0.3220484699212306	4.299182299182299	1.0	40.0
29	0.0	2.0	1	0.23943337556144192	4.117364117364118	2.0	40.0
30	0.0	1.3333333333333335	1	0.15847244454607823	3.9658489658489664	3.0	40.0
31	0.0	1.0	1	0.11813429378185347	3.8376438376438378	4.0	40.0
32	0.0	0.8	1	0.0940192198982476	3.7277537277537283	5.0	40.0
33	0.0	0.6666666666666667	1	0.07800013506516895	3.6325156325156325	6.0	40.0
