	x	v	t	best_action	h	prob_change	init_light
0	40.0	7.0	2.93	0.0	1.879929658123886	0.08377270064440538	1
1	40.0	8.0	2.88	0.0	1.6595390740338762	0.07301401869158879	1
2	40.0	9.0	2.83	0.0	1.4876405012769625	0.0646476412347117	1
3	40.0	10.0	2.79	0.0	1.3400085452859463	0.058105752469494475	1
4	40.0	11.0	2.75	0.0	1.2246855550358868	0.0527536231884058	1
5	40.0	12.0	2.71	0.0	1.1290337600357532	0.04800462695199537	1
6	40.0	13.0	2.68	-1.25	1.0439739999999988	0.046189376443418015	1
7	40.0	14.0	2.6500000000000004	-1.35	0.9685059999999989	0.04265129682997118	1
8	40.0	15.0	2.62	-1.45	0.8930379999999989	0.03970080552359033	1
9	40.0	16.0	2.59	-1.55	0.830147999999999	0.03733486502010339	1
10	40.0	17.0	2.5700000000000003	-1.65	0.7798359999999991	0.03499713138267355	1
11	40.0	9.0	2.7600000000000002	0.0	1.4876405012769625	0.06438515081206497	1
12	40.0	10.0	2.72	0.0	1.3400085452859463	0.057870370370370364	1
13	40.0	11.0	2.68	0.0	1.2246855550358868	0.05254041570438799	1
14	40.0	12.0	2.6500000000000004	0.0	1.1290337600357532	0.0478386167146974	1
15	40.0	13.0	2.62	-1.25	1.0439739999999988	0.04602991944764097	1
16	40.0	14.0	2.59	-1.35	0.9685059999999989	0.04250430786904078	1
17	40.0	15.0	2.56	-1.45	0.8930379999999989	0.03956422018348623	1
18	40.0	16.0	2.54	-1.55	0.830147999999999	0.03722794959908362	1
19	40.0	17.0	2.52	-1.65	0.7798359999999992	0.03489702517162471	1
20	40.0	18.0	2.5	-1.75	0.7358129999999993	0.03257142857142857	1
21	40.0	10.0	2.66	0.0	1.3400085452859463	0.05767012687427912	1
22	40.0	11.0	2.63	0.0	1.2246855550358868	0.05238917674150834	1
23	40.0	12.0	2.6	0.0	1.1290337600357532	0.04770114942528736	1
24	40.0	13.0	2.5700000000000003	-1.25	1.0439739999999988	0.04589787722317843	1
25	40.0	14.0	2.54	-1.35	0.9685059999999989	0.04238258877434135	1
26	40.0	15.0	2.52	-1.45	0.8930379999999989	0.039473684210526314	1
27	40.0	16.0	2.5	-1.55	0.830147999999999	0.037142857142857144	1
28	40.0	17.0	2.48	-1.65	0.7798359999999991	0.034817351598173514	1
29	40.0	18.0	2.45	-1.75	0.7358129999999993	0.032478632478632474	1
30	40.0	12.0	2.55	0.0	1.1290337600357532	0.04756446991404011	1
31	40.0	13.0	2.52	-1.25	1.0439739999999988	0.04576659038901602	1
32	40.0	14.0	2.5	-1.35	0.9685059999999989	0.04228571428571429	1
33	40.0	15.0	2.48	-1.45	0.8930379999999989	0.039383561643835614	1
34	40.0	16.0	2.46	-1.55	0.830147999999999	0.0370581527936146	1
35	40.0	17.0	2.43	-1.65	0.7798359999999992	0.03471826977803073	1
36	40.0	18.0	2.42	-1.75	0.7358129999999993	0.03242320819112628	1
37	40.0	19.0	2.4	-1.8499999999999999	0.6980789999999994	0.03068181818181818	1
38	40.0	13.0	2.48	-1.25	1.0439739999999988	0.04566210045662101	1
39	40.0	14.0	2.46	-1.35	0.9685059999999989	0.042189281641961236	1
40	40.0	15.0	2.44	-1.45	0.8930379999999989	0.03929384965831435	1
41	40.0	16.0	2.41	-1.55	0.830147999999999	0.036952814098919845	1
42	40.0	17.0	2.4	-1.65	0.7798359999999992	0.0346590909090909	1
43	40.0	18.0	2.38	-1.75	0.7358129999999993	0.032349602724177064	1
44	40.0	19.0	2.36	-1.8499999999999999	0.6980789999999993	0.030612244897959186	1
45	40.0	20.0	2.35	-1.9500000000000002	0.6603449999999993	0.02889518413597734	1
46	40.0	14.0	2.41	-1.35	0.9685059999999989	0.04206935758953951	1
47	40.0	15.0	2.3800000000000003	-1.45	0.8930379999999989	0.039160045402951184	1
48	40.0	16.0	2.37	-1.55	0.830147999999999	0.036868973340896206	1
49	40.0	17.0	2.35	-1.65	0.7798359999999992	0.03456090651558074	1
50	40.0	18.0	2.33	-1.75	0.7358129999999993	0.032258064516129024	1
51	40.0	19.0	2.3200000000000003	-1.8499999999999999	0.6980789999999993	0.03054298642533937	1
52	40.0	20.0	2.3000000000000003	-1.9500000000000002	0.6603449999999994	0.0288135593220339	1
53	40.0	21.0	2.29	-2.0500000000000003	0.6226109999999994	0.02766798418972332	1
54	40.0	15.0	2.36	-1.45	0.8930379999999989	0.039115646258503396	1
55	40.0	16.0	2.34	-1.55	0.830147999999999	0.03680634201585504	1
56	40.0	17.0	2.32	-1.65	0.7798359999999992	0.034502262443438916	1
57	40.0	18.0	2.31	-1.75	0.7358129999999993	0.032221594120972294	1
58	40.0	19.0	2.29	-1.8499999999999999	0.6980789999999993	0.030491247882552232	1
59	40.0	20.0	2.2800000000000002	-1.9500000000000002	0.6603449999999995	0.028781038374717835	1
60	40.0	21.0	2.26	-2.0500000000000003	0.6226109999999995	0.027621195039458847	1
61	40.0	22.0	2.25	-2.15	0.5911659999999994	0.02647887323943662	1
62	40.0	17.0	2.29	-1.65	0.7798359999999992	0.034443817052512704	1
63	40.0	18.0	2.27	-1.75	0.7358129999999993	0.032148900169204735	1
64	40.0	19.0	2.26	-1.8499999999999999	0.6980789999999993	0.030439684329199548	1
65	40.0	20.0	2.24	-1.9500000000000002	0.6603449999999994	0.02871621621621622	1
66	40.0	21.0	2.23	-2.0500000000000003	0.6226109999999994	0.027574563871693866	1
67	40.0	22.0	2.2199999999999998	-2.15	0.5911659999999994	0.026434195725534303	1
68	40.0	9.0	2.72	0.0	1.4876405012769625	0.06423611111111112	1
