	v0	t0:	det_cost	sto_cost	dum_cost
0	10	0.0	1.1519372685814264	1.1513136281250058	1.417625000000008
1	10	2.0	1.1519372685814264	1.1513136281250058	1.417625000000008
2	10	4.0	1.1519372685814264	1.1513136281250058	1.417625000000008
3	10	6.0	1.1519372685814264	1.1513136281250058	1.417625000000008
4	10	8.0	1.1519372685814264	1.1513136281250058	1.417625000000008
5	10	10.0	1.1519372685814264	1.1513136281250058	1.417625000000008
6	10	12.0	1.1519372685814264	1.1513136281250058	1.417625000000008
7	10	14.0	1.1519372685814264	1.1513136281250058	1.417625000000008
8	10	16.0	1.1519372685814264	1.1513136281250058	1.417625000000008
9	10	18.0	1.1519372685814264	1.1513136281250058	1.417625000000008
10	10	20.0	1.1519372685814264	1.1513136281250058	1.417625000000008
11	10	22.0	1.1519372685814264	1.1513136281250058	28.914874999985987
12	10	24.0	1.1519372685814264	1.1513136281250058	27.879124999985834
13	10	26.0	1.1519372685814264	16.198371567968547	24.099374999985255
14	10	28.0	8.145226153849716	15.93268045644511	22.099374999984942
15	10	30.0	7.606131743603148	22.724990729492852	20.09937499998463
16	10	32.0	7.0437190259901525	20.72499072949254	18.099374999984317
17	10	34.0	6.4880851838377875	18.724990729492227	16.099374999984093
18	10	36.0	5.929335898149696	16.724990729491914	14.099374999984153
19	10	38.0	5.376693809141671	14.724990729491937	12.099374999984196
20	10	40.0	4.793081601466331	12.72499072949198	10.099374999984239
21	10	42.0	4.270959166876361	10.724990729492022	8.099374999984281
22	10	44.0	3.721537695784072	8.724990729492065	6.099374999984313
23	10	46.0	3.1613085073769347	6.724990729492102	4.09937499998435
24	10	48.0	2.589159962786282	4.724990729492145	2.805124999999992
25	10	50.0	1.9982581001615152	2.724990729492187	2.32162499999998
26	10	52.0	1.3712153296046625	2.224984598632816	1.9301250000000023
27	10	54.0	1.1519372685814264	1.3715257970703179	1.6278750000000088
28	10	56.0	1.1519372685814264	1.1513136281250058	1.417625000000008
